word,level_index,level
LOST,5,4
LOT,6,5
LOUD,6,5
LOVE,5,4
LOW,5,4
MACHINE,5,4
MADE,3,2
MAIN,6,5
MAINTAIN,7,academic
MAJOR,6,5
MAKE,0,prek
MALL,4,3
MAN,1,k
MANIPULATE,7,academic
MANUAL,7,academic
MANY,3,2
MAP,6,5
MARCH,6,5
MARGIN,7,academic
MARK,2,1
MATCH,6,5
MATERIAL,6,5
MATTER,3,2
MATURE,7,academic
MAXIMISE,7,academic
MAY,2,1
MAYBE,6,5
ME,0,prek
MEANS,5,4
MEASURE,5,4
MEAT,6,5
MECHANISM,7,academic
MEDIA,7,academic
MEDIATE,7,academic
MEDICAL,7,academic
MEDIUM,7,academic
MEET,6,5
MELODY,6,5
MEMBERS,3,2
MEN,1,k
MENTAL,7,academic
METAL,3,2
METHOD,5,4
MIDDLE,6,5
MIGHT,5,4
MIGRATE,7,academic
MILE,6,5
MILITARY,7,academic
MILK,1,k
MILLION,6,5
MIND,5,4
MINE,4,3
MINIMAL,7,academic
MINIMISE,7,academic
MINIMUM,7,academic
MINISTRY,7,academic
MINOR,7,academic
MINUTES,3,2
MISS,6,5
MODE,7,academic
MODERN,4,3
MODIFY,7,academic
MOLECULES,4,3
MOMENT,6,5
MONEY,1,k
MONITOR,7,academic
MONTHS,6,5
MOON,3,2
MORE,6,5
MORNING,1,k
MOST,1,k
MOTHER,1,k
MOTIVE,7,academic
MOUNTAINS,6,5
MOUTH,5,4
MOVE,6,5
MOVEMENT,5,4
MUCH,4,3
MUSIC,2,1
MUST,1,k
MUTUAL,7,academic
MY,0,prek
MYSELF,4,3
NAME,1,k
NATION,5,4
NATURAL,6,5
NEAR,2,1
NECESSARY,6,5
NEED,6,5
NEGATE,7,academic
NEST,1,k
NETWORK,7,academic
NEUTRAL,7,academic
NEVER,2,1
NEVERTHELESS,7,academic
NEW,1,k
NEXT,5,4
NIGHT,1,k
NO,1,k
NONETHELESS,7,academic
NORM,7,academic
NORMAL,7,academic
NORTH,6,5
NORTHERN,6,5
NOSE,6,5
NOT,0,prek
NOTE,5,4
NOTHING,5,4
NOTICE,6,5
NOTION,7,academic
NOTWITHSTANDING,7,academic
NOUN,6,5
NOW,1,k
NUCLEAR,7,academic
NUMBER,6,5
NUMERAL,6,5
OBJECT,6,5
OBJECTIVE,7,academic
OBSERVE,6,5
OBTAIN,7,academic
OBVIOUS,7,academic
OCCUPY,7,academic
OCCUR,7,academic
OCEAN,5,4
ODD,7,academic
OF,1,k
OFF,3,2
OFFICE,6,5
OFFSET,7,academic
OFTEN,5,4
OH,3,2
OIL,6,5
OLD,2,1
ON,1,k
ONCE,2,1
ONE,0,prek
ONGOING,7,academic
ONLY,1,k
